query,abstract,num_words,num_sentences,num_characters,flesch_reading_ease,flesch_kincaid_grade,smog_index,gunning_fog
machine learning,"Machine learning on graphs has been extensively studied in both academic and
industry. However, as the literature on graph learning booms with a vast number
of emerging methods and techniques, it becomes increasingly difficult to
manually design the optimal machine learning algorithm for different
graph-related tasks. To solve this critical challenge, automated machine
learning (AutoML) on graphs which combines the strength of graph machine
learning and AutoML together, is gaining attention from the research community.
Therefore, we comprehensively survey AutoML on graphs in this paper, primarily
focusing on hyper-parameter optimization (HPO) and neural architecture search
(NAS) for graph machine learning. We further overview libraries related to
automated graph machine learning and in-depth discuss AutoGL, the first
dedicated open-source library for AutoML on graphs. In the end, we share our
insights on future research directions for automated graph machine learning.
This paper is the first systematic and comprehensive review of automated
machine learning on graphs to the best of our knowledge.",160,8,1112,31.31,14.6,15.3,15.16
machine learning,"The ethics of Machine Learning has become an unavoidable topic in the AI
Community. The deployment of machine learning systems in multiple social
contexts has resulted in a closer ethical scrutiny of the design, development,
and application of these systems. The AI/ML community has come to terms with
the imperative to think about the ethical implications of machine learning, not
only as a product but also as a practice (Birhane, 2021; Shen et al. 2021). The
critical question that is troubling many debates is what can constitute an
ethically accountable machine learning system. In this paper we explore
possibilities for ethical evaluation of machine learning methodologies. We
scrutinize techniques, methods and technical practices in machine learning from
a relational ethics perspective, taking into consideration how machine learning
systems are part of the world and how they relate to different forms of agency.
Taking a page from Phil Agre (1997) we use the notion of a critical technical
practice as a means of analysis of machine learning approaches. Our radical
proposal is that supervised learning appears to be the only machine learning
method that is ethically defensible.",186,10,1191,39.37,13.6,15.2,15.56
machine learning,"Compressive learning is a framework where (so far unsupervised) learning
tasks use not the entire dataset but a compressed summary (sketch) of it. We
propose a compressive learning classification method, and a novel sketch
function for images.",37,3,243,52.7,10.5,0.0,11.72
machine learning,"Machine learning based system are increasingly being used for sensitive tasks
such as security surveillance, guiding autonomous vehicle, taking investment
decisions, detecting and blocking network intrusion and malware etc. However,
recent research has shown that machine learning models are venerable to attacks
by adversaries at all phases of machine learning (eg, training data collection,
training, operation). All model classes of machine learning systems can be
misled by providing carefully crafted inputs making them wrongly classify
inputs. Maliciously created input samples can affect the learning process of a
ML system by either slowing down the learning process, or affecting the
performance of the learned mode, or causing the system make error(s) only in
attacker's planned scenario. Because of these developments, understanding
security of machine learning algorithms and systems is emerging as an important
research area among computer security and machine learning researchers and
practitioners. We present a survey of this emerging area in machine learning.",154,7,1076,20.01,16.9,16.1,17.29
machine learning,"MM (majorization--minimization) algorithms are an increasingly popular tool
for solving optimization problems in machine learning and statistical
estimation. This article introduces the MM algorithm framework in general and
via three popular example applications: Gaussian mixture regressions,
multinomial logistic regressions, and support vector machines. Specific
algorithms for the three examples are derived and numerical demonstrations are
presented. Theoretical and practical aspects of MM algorithm design are
discussed.",66,5,527,3.97,16.8,18.0,20.54
machine learning,"Based on 46 in-depth interviews with scientists, engineers, and CEOs, this
document presents a list of concrete machine research problems, progress on
which would directly benefit tech ventures in East Africa.",31,2,209,40.01,15.4,0.0,20.14
machine learning,"Today, intelligent systems that offer artificial intelligence capabilities
often rely on machine learning. Machine learning describes the capacity of
systems to learn from problem-specific training data to automate the process of
analytical model building and solve associated tasks. Deep learning is a
machine learning concept based on artificial neural networks. For many
applications, deep learning models outperform shallow machine learning models
and traditional data analysis approaches. In this article, we summarize the
fundamentals of machine learning and deep learning to generate a broader
understanding of the methodical underpinning of current intelligent systems. In
particular, we provide a conceptual distinction between relevant terms and
concepts, explain the process of automated analytical model building through
machine learning and deep learning, and discuss the challenges that arise when
implementing such intelligent systems in the field of electronic markets and
networked business. These naturally go beyond technological aspects and
highlight issues in human-machine interaction and artificial intelligence
servitization.",154,8,1149,6.84,17.8,16.6,17.11
machine learning,"In this paper we present applications of different machine learning
algorithms in aquaculture. Machine learning algorithms learn models from
historical data. In aquaculture historical data are obtained from farm
practices, yields, and environmental data sources. Associations between these
different variables can be obtained by applying machine learning algorithms to
historical data. In this paper we present applications of different machine
learning algorithms in aquaculture applications.",65,6,493,24.44,13.1,14.3,9.51
machine learning,"TF.Learn is a high-level Python module for distributed machine learning
inside TensorFlow. It provides an easy-to-use Scikit-learn style interface to
simplify the process of creating, configuring, training, evaluating, and
experimenting a machine learning model. TF.Learn integrates a wide range of
state-of-art machine learning algorithms built on top of TensorFlow's low level
APIs for small to large-scale supervised and unsupervised problems. This module
focuses on bringing machine learning to non-specialists using a general-purpose
high-level language as well as researchers who want to implement, benchmark,
and compare their new methods in a structured environment. Emphasis is put on
ease of use, performance, documentation, and API consistency.",104,8,755,33.44,13.8,15.9,16.4
machine learning,"Machine learning methods have had spectacular success on numerous problems.
Here we show that a prominent class of learning algorithms - including Support
Vector Machines (SVMs) -- have a natural interpretation in terms of ecological
dynamics. We use these ideas to design new online SVM algorithms that exploit
ecological invasions, and benchmark performance using the MNIST dataset. Our
work provides a new ecological lens through which we can view statistical
learning and opens the possibility of designing ecosystems for machine
learning.
  Supplemental code is found at https://github.com/owenhowell20/EcoSVM.",87,7,615,37.3,12.3,14.3,14.33
machine learning,"Machine learning has more and more effect on our every day's life. This field
keeps growing and expanding into new areas. Machine learning is based on the
implementation of artificial intelligence that gives systems the capability to
automatically learn and enhance from experiments without being explicitly
programmed. Machine Learning algorithms apply mathematical equations to analyze
datasets and predict values based on the dataset. In the field of
cybersecurity, machine learning algorithms can be utilized to train and analyze
the Intrusion Detection Systems (IDSs) on security-related datasets. In this
paper, we tested different machine learning algorithms to analyze NSL-KDD
dataset using KNIME analytics.",102,7,715,28.84,13.5,13.8,13.47
machine learning,"The prediction of epileptic seizure has always been extremely challenging in
medical domain. However, as the development of computer technology, the
application of machine learning introduced new ideas for seizure forecasting.
Applying machine learning model onto the predication of epileptic seizure could
help us obtain a better result and there have been plenty of scientists who
have been doing such works so that there are sufficient medical data provided
for researchers to do training of machine learning models.",78,4,519,28.17,15.8,16.7,18.09
machine learning,"One of the pillars of any machine learning model is its concepts. Using
software engineering, we can engineer these concepts and then develop and
expand them. In this article, we present a SELM framework for Software
Engineering of machine Learning Models. We then evaluate this framework through
a case study. Using the SELM framework, we can improve a machine learning
process efficiency and provide more accuracy in learning with less processing
hardware resources and a smaller training dataset. This issue highlights the
importance of an interdisciplinary approach to machine learning. Therefore, in
this article, we have provided interdisciplinary teams' proposals for machine
learning.",103,8,692,48.09,10.2,11.5,10.15
machine learning,"At the intersection of machine learning and quantum computing, Quantum
Machine Learning (QML) has the potential of accelerating data analysis,
especially for quantum data, with applications for quantum materials,
biochemistry, and high-energy physics. Nevertheless, challenges remain
regarding the trainability of QML models. Here we review current methods and
applications for QML. We highlight differences between quantum and classical
machine learning, with a focus on quantum neural networks and quantum deep
learning. Finally, we discuss opportunities for quantum advantage with QML.",80,6,588,21.4,14.3,14.3,14.9
machine learning,"In this position paper, I first describe a new perspective on machine
learning (ML) by four basic problems (or levels), namely, ""What to learn?"",
""How to learn?"", ""What to evaluate?"", and ""What to adjust?"". The paper stresses
more on the first level of ""What to learn?"", or ""Learning Target Selection"".
Towards this primary problem within the four levels, I briefly review the
existing studies about the connection between information theoretical learning
(ITL [1]) and machine learning. A theorem is given on the relation between the
empirically-defined similarity measure and information measures. Finally, a
conjecture is proposed for pursuing a unified mathematical interpretation to
learning target selection.",106,6,714,42.58,10.3,11.6,11.14
machine learning,"Mechanical learning is a computing system that is based on a set of simple
and fixed rules, and can learn from incoming data. A learning machine is a
system that realizes mechanical learning. Importantly, we emphasis that it is
based on a set of simple and fixed rules, contrasting to often called machine
learning that is sophisticated software based on very complicated mathematical
theory, and often needs human intervene for software fine tune and manual
adjustments. Here, we discuss some basic facts and principles of such system,
and try to lay down a framework for further study. We propose 2 directions to
approach mechanical learning, just like Church-Turing pair: one is trying to
realize a learning machine, another is trying to well describe the mechanical
learning.",126,6,779,37.44,14.3,15.1,15.48
machine learning,"The problem of learning automata from example traces (but no equivalence or
membership queries) is fundamental in automata learning theory and practice. In
this paper we study this problem for finite state machines with inputs and
outputs, and in particular for Moore machines. We develop three algorithms for
solving this problem: (1) the PTAP algorithm, which transforms a set of
input-output traces into an incomplete Moore machine and then completes the
machine with self-loops; (2) the PRPNI algorithm, which uses the well-known
RPNI algorithm for automata learning to learn a product of automata encoding a
Moore machine; and (3) the MooreMI algorithm, which directly learns a Moore
machine using PTAP extended with state merging. We prove that MooreMI has the
fundamental identification in the limit property. We also compare the
algorithms experimentally in terms of the size of the learned machine and
several notions of accuracy, introduced in this paper. Finally, we compare with
OSTIA, an algorithm that learns a more general class of transducers, and find
that OSTIA generally does not learn a Moore machine, even when fed with a
characteristic sample.",183,7,1165,32.06,16.4,16.9,17.01
machine learning,"Machine learning workflow development is anecdotally regarded to be an
iterative process of trial-and-error with humans-in-the-loop. However, we are
not aware of quantitative evidence corroborating this popular belief. A
quantitative characterization of iteration can serve as a benchmark for machine
learning workflow development in practice, and can aid the development of
human-in-the-loop machine learning systems. To this end, we conduct a
small-scale survey of the applied machine learning literature from five
distinct application domains. We collect and distill statistics on the role of
iteration within machine learning workflow development, and report preliminary
trends and insights from our investigation, as a starting point towards this
benchmark. Based on our findings, we finally describe desiderata for effective
and versatile human-in-the-loop machine learning systems that can cater to
users in diverse domains.",129,7,931,24.27,15.2,15.7,14.18
machine learning,"Autonomous vehicles rely on machine learning to solve challenging tasks in
perception and motion planning. However, automotive software safety standards
have not fully evolved to address the challenges of machine learning safety
such as interpretability, verification, and performance limitations. In this
paper, we review and organize practical machine learning safety techniques that
can complement engineering safety for machine learning based software in
autonomous vehicles. Our organization maps safety strategies to
state-of-the-art machine learning techniques in order to enhance dependability
and safety of machine learning algorithms. We also discuss security limitations
and user experience aspects of machine learning components in autonomous
vehicles.",101,6,764,8.67,17.1,16.2,15.6
machine learning,"Machine learning is driving development across many fields in science and
engineering. A simple and efficient programming language could accelerate
applications of machine learning in various fields. Currently, the programming
languages most commonly used to develop machine learning algorithms include
Python, MATLAB, and C/C ++. However, none of these languages well balance both
efficiency and simplicity. The Julia language is a fast, easy-to-use, and
open-source programming language that was originally designed for
high-performance computing, which can well balance the efficiency and
simplicity. This paper summarizes the related research work and developments in
the application of the Julia language in machine learning. It first surveys the
popular machine learning algorithms that are developed in the Julia language.
Then, it investigates applications of the machine learning algorithms
implemented with the Julia language. Finally, it discusses the open issues and
the potential future directions that arise in the use of the Julia language in
machine learning.",153,10,1075,28.94,13.4,14.6,13.87
machine learning,"As machine learning becomes more and more available to the general public,
theoretical questions are turning into pressing practical issues. Possibly, one
of the most relevant concerns is the assessment of our confidence in trusting
machine learning predictions. In many real-world cases, it is of utmost
importance to estimate the capabilities of a machine learning algorithm to
generalize, i.e., to provide accurate predictions on unseen data, depending on
the characteristics of the target problem. In this work, we perform a
meta-analysis of 109 publicly-available classification data sets, modeling
machine learning generalization as a function of a variety of data set
characteristics, ranging from number of samples to intrinsic dimensionality,
from class-wise feature skewness to $F1$ evaluated on test samples falling
outside the convex hull of the training set. Experimental results demonstrate
the relevance of using the concept of the convex hull of the training data in
assessing machine learning generalization, by emphasizing the difference
between interpolated and extrapolated predictions. Besides several predictable
correlations, we observe unexpectedly weak associations between the
generalization ability of machine learning models and all metrics related to
dimensionality, thus challenging the common assumption that the \textit{curse
of dimensionality} might impair generalization in machine learning.",198,9,1425,8.91,19.0,18.2,18.59
machine learning,"Although machine learning is widely used in practice, little is known about
practitioners' understanding of potential security challenges. In this work, we
close this substantial gap and contribute a qualitative study focusing on
developers' mental models of the machine learning pipeline and potentially
vulnerable components. Similar studies have helped in other security fields to
discover root causes or improve risk communication. Our study reveals two
\facets of practitioners' mental models of machine learning security. Firstly,
practitioners often confuse machine learning security with threats and defences
that are not directly related to machine learning. Secondly, in contrast to
most academic research, our participants perceive security of machine learning
as not solely related to individual models, but rather in the context of entire
workflows that consist of multiple components. Jointly with our additional
findings, these two facets provide a foundation to substantiate mental models
for machine learning security and have implications for the integration of
adversarial machine learning into corporate workflows, \new{decreasing
practitioners' reported uncertainty}, and appropriate regulatory frameworks for
machine learning security.",171,8,1257,12.87,17.5,17.6,17.71
machine learning,"Machine Learning permeates many industries, which brings new source of
benefits for companies. However within the life insurance industry, Machine
Learning is not widely used in practice as over the past years statistical
models have shown their efficiency for risk assessment. Thus insurers may face
difficulties to assess the value of the artificial intelligence. Focusing on
the modification of the life insurance industry over time highlights the stake
of using Machine Learning for insurers and benefits that it can bring by
unleashing data value. This paper reviews traditional actuarial methodologies
for survival modeling and extends them with Machine Learning techniques. It
points out differences with regular machine learning models and emphasizes
importance of specific implementations to face censored data with machine
learning models family. In complement to this article, a Python library has
been developed. Different open-source Machine Learning algorithms have been
adjusted to adapt the specificities of life insurance data, namely censoring
and truncation. Such models can be easily applied from this SCOR library to
accurately model life insurance risks.",171,10,1176,35.27,13.1,15.9,16.02
machine learning,"Hybrid algorithms, which combine black-box machine learning methods with
experience from traditional numerical methods and domain expertise from diverse
application areas, are progressively gaining importance in scientific machine
learning and various industrial domains, especially in computational science
and engineering. In the present survey, several promising avenues of research
will be examined which focus on the combination of machine learning (ML) and
domain decomposition methods (DDMs). The aim of this survey is to provide an
overview of existing work within this field and to structure it into domain
decomposition for machine learning and machine learning-enhanced domain
decomposition, including: domain decomposition for classical machine learning,
domain decomposition to accelerate the training of physics-aware neural
networks, machine learning to enhance the convergence properties or
computational efficiency of DDMs, and machine learning as a discretization
method in a DDM for the solution of PDEs. In each of these fields, we summarize
existing work and key advances within a common framework and, finally, disuss
ongoing challenges and opportunities for future research.",166,5,1197,-4.5,24.2,20.7,23.59
machine learning,"The main goal of statistical learning theory is to provide a fundamental
framework for the problem of decision making and model construction based on
sets of data. Here, we present a brief introduction to the fundamentals of
statistical learning theory, in particular the difference between empirical and
structural risk minimization, including one of its most prominent
implementations, i.e. the Support Vector Machine.",62,5,420,25.08,14.9,16.3,16.67
machine learning,"This article studies the financial time series data processing for machine
learning. It introduces the most frequent scaling methods, then compares the
resulting stationarity and preservation of useful information for trend
forecasting. It proposes an empirical test based on the capability to learn
simple data relationship with simple models. It also speaks about the data
split method specific to time series, avoiding unwanted overfitting and
proposes various labelling for classification and regression.",72,5,508,27.83,13.9,15.9,17.76
machine learning,"We present two related Stata modules, r_ml_stata and c_ml_stata, for fitting
popular Machine Learning (ML) methods both in regression and classification
settings. Using the recent Stata/Python integration platform (sfi) of Stata 16,
these commands provide hyper-parameters' optimal tuning via K-fold
cross-validation using greed search. More specifically, they make use of the
Python Scikit-learn API to carry out both cross-validation and outcome/label
prediction.",62,4,465,16.62,16.1,15.5,16.02
machine learning,"This is a collection of (mostly) pen-and-paper exercises in machine learning.
The exercises are on the following topics: linear algebra, optimisation,
directed graphical models, undirected graphical models, expressive power of
graphical models, factor graphs and message passing, inference for hidden
Markov models, model-based learning (including ICA and unnormalised models),
sampling and Monte-Carlo integration, and variational inference.",56,3,442,-7.71,21.3,0.0,20.49
machine learning,"In this chapter, we present the main classic machine learning methods. A
large part of the chapter is devoted to supervised learning techniques for
classification and regression, including nearest-neighbor methods, linear and
logistic regressions, support vector machines and tree-based algorithms. We
also describe the problem of overfitting as well as strategies to overcome it.
We finally provide a brief overview of unsupervised learning methods, namely
for clustering and dimensionality reduction.",70,5,502,28.33,13.7,14.2,14.43
machine learning,"Although the use of active learning to increase learners' engagement has
recently been introduced in a variety of methods, empirical experiments are
lacking. In this study, we attempted to align two experiments in order to (1)
make a hypothesis for machine and (2) empirically confirm the effect of active
learning on learning. In Experiment 1, we compared the effect of a passive form
of learning to active form of learning. The results showed that active learning
had a greater learning outcomes than passive learning. In the machine
experiment based on the human result, we imitated the human active learning as
a form of knowledge distillation. The active learning framework performed
better than the passive learning framework. In the end, we showed not only that
we can make build better machine training framework through the human
experiment result, but also empirically confirm the result of human experiment
through imitated machine experiments; human-like active learning have crucial
effect on learning performance.",159,8,1027,39.97,13.3,13.0,12.35
machine learning,"Security vulnerabilities play a vital role in network security system.
Fuzzing technology is widely used as a vulnerability discovery technology to
reduce damage in advance. However, traditional fuzzing techniques have many
challenges, such as how to mutate input seed files, how to increase code
coverage, and how to effectively bypass verification. Machine learning
technology has been introduced as a new method into fuzzing test to alleviate
these challenges. This paper reviews the research progress of using machine
learning technology for fuzzing test in recent years, analyzes how machine
learning improve the fuzz process and results, and sheds light on future work
in fuzzing. Firstly, this paper discusses the reasons why machine learning
techniques can be used for fuzzing scenarios and identifies six different
stages in which machine learning have been used. Then this paper systematically
study the machine learning based fuzzing models from selection of machine
learning algorithm, pre-processing methods, datasets, evaluation metrics, and
hyperparameters setting. Next, this paper assesses the performance of the
machine learning models based on the frequently used evaluation metrics. The
results of the evaluation prove that machine learning technology has an
acceptable capability of categorize predictive for fuzzing. Finally, the
comparison on capability of discovering vulnerabilities between traditional
fuzzing tools and machine learning based fuzzing tools is analyzed. The results
depict that the introduction of machine learning technology can improve the
performance of fuzzing. However, there are still some limitations, such as
unbalanced training samples and difficult to extract the characteristics
related to vulnerabilities.",249,13,1759,24.98,14.9,15.2,14.26
machine learning,"The emerging field of quantum machine learning has the potential to
substantially aid in the problems and scope of artificial intelligence. This is
only enhanced by recent successes in the field of classical machine learning.
In this work we propose an approach for the systematic treatment of machine
learning, from the perspective of quantum information. Our approach is general
and covers all three main branches of machine learning: supervised,
unsupervised and reinforcement learning. While quantum improvements in
supervised and unsupervised learning have been reported, reinforcement learning
has received much less attention. Within our approach, we tackle the problem of
quantum enhancements in reinforcement learning as well, and propose a
systematic scheme for providing improvements. As an example, we show that
quadratic improvements in learning efficiency, and exponential improvements in
performance over limited time periods, can be obtained for a broad class of
learning problems.",144,8,997,33.65,13.7,15.5,14.63
machine learning,"We introduce Matched Machine Learning, a framework that combines the
flexibility of machine learning black boxes with the interpretability of
matching, a longstanding tool in observational causal inference.
Interpretability is paramount in many high-stakes application of causal
inference. Current tools for nonparametric estimation of both average and
individualized treatment effects are black-boxes that do not allow for human
auditing of estimates. Our framework uses machine learning to learn an optimal
metric for matching units and estimating outcomes, thus achieving the
performance of machine learning black-boxes, while being interpretable. Our
general framework encompasses several published works as special cases. We
provide asymptotic inference theory for our proposed framework, enabling users
to construct approximate confidence intervals around estimates of both
individualized and average treatment effects. We show empirically that
instances of Matched Machine Learning perform on par with black-box machine
learning methods and better than existing matching methods for similar
problems. Finally, in our application we show how Matched Machine Learning can
be used to perform causal inference even when covariate data are highly
complex: we study an image dataset, and produce high quality matches and
estimates of treatment effects.",188,9,1353,22.24,16.0,16.2,15.36
machine learning,"We present generalization bounds for the TS-MKL framework for two stage
multiple kernel learning. We also present bounds for sparse kernel learning
formulations within the TS-MKL framework.",27,3,189,57.77,8.6,0.0,9.84
machine learning,"We comment on the fact that gradient ascent for logistic regression has a
connection with the perceptron learning algorithm. Logistic learning is the
""soft"" variant of perceptron learning.",28,3,188,40.35,11.1,0.0,14.17
